Semaine,Clics,CPC moy.,Impressions,Coût
Semaine du 28 juil. 2025,394,"0,33 €",21 027,"129,04 €"
Semaine du 4 août 2025,2 880,"0,30 €",173 470,"860,15 €"
Semaine du 11 août 2025,2 714,"0,27 €",150 530,"738,71 €"
Semaine du 18 août 2025,2 378,"0,25 €",132 746,"587,14 €"
Semaine du 25 août 2025,2 671,"0,29 €",160 065,"776,93 €"
Semaine du 1 sept. 2025,2 753,"0,29 €",159 926,"810,70 €"
Semaine du 8 sept. 2025,2 920,"0,28 €",174 444,"816,79 €"
Semaine du 15 sept. 2025,2 939,"0,36 €",178 098,"1 051,78 €"
Semaine du 22 sept. 2025,2 345,"0,34 €",138 075,"790,80 €"
Semaine du 29 sept. 2025,2 757,"0,31 €",156 889,"866,72 €"
Semaine du 6 oct. 2025,2 884,"0,30 €",163 703,"867,99 €"
Semaine du 13 oct. 2025,2 526,"0,34 €",150 022,"858,37 €"
Semaine du 20 oct. 2025,2 657,"0,30 €",144 502,"799,31 €"
Semaine du 27 oct. 2025,2 353,"0,27 €",137 504,"629,20 €"
Semaine du 3 nov. 2025,3 773,"0,33 €",246 933,"1 227,12 €"
Semaine du 10 nov. 2025,3 568,"0,29 €",221 410,"1 038,14 €"
Semaine du 17 nov. 2025,3 445,"0,30 €",234 147,"1 049,52 €"
Semaine du 24 nov. 2025,2 121,"0,25 €",118 776,"537,56 €"
Semaine du 1 déc. 2025,941,"0,27 €",36 260,"250,54 €"
Semaine du 8 déc. 2025,1 195,"0,20 €",58 808,"241,79 €"
Semaine du 15 déc. 2025,1 200,"0,19 €",66 327,"227,46 €"
Semaine du 22 déc. 2025,1 329,"0,16 €",63 080,"209,76 €"
Semaine du 29 déc. 2025,1 370,"0,15 €",64 398,"203,75 €"
Semaine du 5 janv. 2026,1 661,"0,42 €",59 770,"704,20 €"
Semaine du 12 janv. 2026,1 738,"0,64 €",52 181,"1 114,57 €"
Semaine du 19 janv. 2026,2 147,"0,62 €",106 127,"1 326,87 €"
Semaine du 26 janv. 2026,1 117,"0,40 €",67 751,"448,54 €"
