# ----------------------------------------
# Vue d'ensemble de l'acquisition
# Compte : Getup Agency
# Propriété : Bricometal.shop
# ----------------------------------------
#  
# Date de début : 20250717
# Date de fin : 20260130
Nième jour,Utilisateurs actifs
0000,796
0001,655
0002,691
0003,731
0004,814
0005,680
0006,645
0007,608
0008,563
0009,478
0010,570
0011,645
0012,679
0013,590
0014,649
0015,675
0016,627
0017,613
0018,751
0019,696
0020,779
0021,692
0022,575
0023,566
0024,642
0025,704
0026,607
0027,663
0028,653
0029,566
0030,450
0031,495
0032,692
0033,724
0034,743
0035,743
0036,609
0037,437
0038,560
0039,689
0040,645
0041,607
0042,720
0043,596
0044,704
0045,730
0046,724
0047,775
0048,744
0049,760
0050,673
0051,483
0052,569
0053,765
0054,764
0055,719
0056,942
0057,1071
0058,577
0059,558
0060,914
0061,787
0062,743
0063,763
0064,630
0065,567
0066,668
0067,770
0068,729
0069,785
0070,707
0071,670
0072,524
0073,551
0074,735
0075,736
0076,716
0077,757
0078,759
0079,665
0080,706
0081,813
0082,883
0083,811
0084,797
0085,802
0086,690
0087,682
0088,888
0089,841
0090,761
0091,719
0092,666
0093,575
0094,599
0095,800
0096,773
0097,778
0098,798
0099,688
0100,538
0101,688
0102,840
0103,736
0104,830
0105,689
0106,554
0107,581
0108,639
0109,839
0110,940
0111,831
0112,855
0113,746
0114,740
0115,744
0116,929
0117,841
0118,915
0119,932
0120,812
0121,597
0122,551
0123,935
0124,792
0125,810
0126,751
0127,761
0128,518
0129,665
0130,765
0131,746
0132,676
0133,630
0134,552
0135,424
0136,431
0137,580
0138,543
0139,520
0140,526
0141,425
0142,381
0143,383
0144,532
0145,587
0146,530
0147,546
0148,438
0149,420
0150,404
0151,559
0152,529
0153,479
0154,473
0155,401
0156,390
0157,348
0158,492
0159,485
0160,327
0161,285
0162,439
0163,461
0164,468
0165,587
0166,499
0167,370
0168,409
0169,465
0170,436
0171,478
0172,662
0173,607
0174,629
0175,690
0176,615
0177,599
0178,585
0179,677
0180,643
0181,616
0182,636
0183,850
0184,585
0185,679
0186,851
0187,843
0188,840
0189,693
0190,697
0191,533
0192,652
0193,820
0194,801
0195,733
0196,727
0197,65

# Date de début : 20250717
# Date de fin : 20260130
Nième jour,Nouveaux utilisateurs
0000,629
0001,524
0002,596
0003,623
0004,630
0005,518
0006,494
0007,491
0008,431
0009,395
0010,473
0011,507
0012,525
0013,464
0014,519
0015,558
0016,533
0017,520
0018,614
0019,558
0020,629
0021,552
0022,462
0023,478
0024,540
0025,587
0026,481
0027,560
0028,529
0029,470
0030,374
0031,414
0032,562
0033,600
0034,643
0035,630
0036,501
0037,363
0038,482
0039,566
0040,504
0041,489
0042,599
0043,479
0044,597
0045,626
0046,578
0047,617
0048,596
0049,609
0050,541
0051,409
0052,482
0053,606
0054,601
0055,564
0056,774
0057,937
0058,480
0059,477
0060,720
0061,628
0062,587
0063,614
0064,486
0065,468
0066,564
0067,609
0068,576
0069,615
0070,578
0071,542
0072,450
0073,462
0074,570
0075,599
0076,581
0077,624
0078,620
0079,573
0080,610
0081,664
0082,701
0083,664
0084,623
0085,644
0086,582
0087,594
0088,701
0089,673
0090,614
0091,567
0092,541
0093,488
0094,500
0095,618
0096,592
0097,609
0098,630
0099,561
0100,442
0101,588
0102,671
0103,575
0104,663
0105,564
0106,448
0107,468
0108,526
0109,682
0110,790
0111,661
0112,670
0113,594
0114,617
0115,633
0116,754
0117,713
0118,727
0119,752
0120,649
0121,496
0122,443
0123,738
0124,602
0125,641
0126,597
0127,638
0128,421
0129,554
0130,598
0131,574
0132,532
0133,481
0134,417
0135,349
0136,353
0137,447
0138,401
0139,380
0140,406
0141,334
0142,315
